cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other
2020,President,polls-plus,8/17/2020,Trump,Biden,,Wyoming,0,0,0.998525,0.001475,,68.7505,27.9858,,3.263706
2020,President,polls-plus,8/17/2020,Trump,Biden,,Wisconsin,0.1096875,5.124948,0.2793,0.7207,,47.1066,51.91372,,0.9796796
2020,President,polls-plus,8/17/2020,Trump,Biden,,West Virginia,0.000125,0.0267261,0.992475,0.007525,,66.01731,32.19201,,1.790676
2020,President,polls-plus,8/17/2020,Trump,Biden,,Washington,0.0010375,0.0406462,0.010625,0.989375,,36.80128,61.01543,,2.183295
2020,President,polls-plus,8/17/2020,Trump,Biden,,Virginia,0.0164625,0.5542364,0.0708,0.9292,,44.15646,54.83863,,1.004908
2020,President,polls-plus,8/17/2020,Trump,Biden,,Vermont,0.0001375,0.0582876,0.00785,0.99215,,31.31195,66.08946,,2.598594
2020,President,polls-plus,8/17/2020,Trump,Biden,,Utah,0.0006,0.0682656,0.9517,0.0483,,57.02476,39.73702,,3.238225
2020,President,polls-plus,8/17/2020,Trump,Biden,,Texas,0.008325,0.1247667,0.744475,0.255525,,52.08374,46.91489,,1.00137
2020,President,polls-plus,8/17/2020,Trump,Biden,,Tennessee,0.0006625,0.036956,0.95095,0.04905,,57.72404,41.20015,,1.075803
2020,President,polls-plus,8/17/2020,Trump,Biden,,South Dakota,0.00015,0.0610086,0.9645,0.0355,,59.79473,38.77407,,1.431195
2020,President,polls-plus,8/17/2020,Trump,Biden,,South Carolina,0.0008625,0.0549843,0.874425,0.125575,,54.01875,45.10233,,0.8789219
2020,President,polls-plus,8/17/2020,Trump,Biden,,Rhode Island,0.000275,0.0866635,0.015875,0.984125,,37.57741,61.03932,,1.383272
2020,President,polls-plus,8/17/2020,Trump,Biden,,Pennsylvania,0.2241125,5.074558,0.255625,0.744375,,47.23832,52.04714,,0.7145393
2020,President,polls-plus,8/17/2020,Trump,Biden,,Oregon,0.0067625,0.4538262,0.084825,0.915175,,41.63612,56.07217,,2.291708
2020,President,polls-plus,8/17/2020,Trump,Biden,,Oklahoma,0.000075,0.0071668,0.99285,0.00715,,63.42215,35.40807,,1.169774
2020,President,polls-plus,8/17/2020,Trump,Biden,,Ohio,0.0288,0.7226517,0.55115,0.44885,,49.95243,49.0058,,1.04177
2020,President,polls-plus,8/17/2020,Trump,Biden,,North Dakota,0.000025,0.0111235,0.986625,0.013375,,61.02655,36.35417,,2.619284
2020,President,polls-plus,8/17/2020,Trump,Biden,,North Carolina,0.0378125,1.071944,0.512725,0.487275,,49.74694,49.4959,,0.7571643
2020,President,polls-plus,8/17/2020,Trump,Biden,,New York,0.001025,0.0183421,0.0029,0.9971,,36.9218,62.01038,,1.06782
2020,President,polls-plus,8/17/2020,Trump,Biden,,New Mexico,0.009475,1.649327,0.089625,0.910375,,43.08352,55.15561,,1.76088
2020,President,polls-plus,8/17/2020,Trump,Biden,,New Jersey,0.00825,0.2989789,0.041975,0.958025,,40.55759,58.58865,,0.8537651
2020,President,polls-plus,8/17/2020,Trump,Biden,,New Hampshire,0.0113375,2.100526,0.274875,0.725125,,46.22823,52.75731,,1.014464
2020,President,polls-plus,8/17/2020,Trump,Biden,,Nevada,0.0275375,3.218946,0.218275,0.781725,,45.93081,52.39543,,1.673756
2020,President,polls-plus,8/17/2020,Trump,Biden,,Nebraska,0,0,0.9866,0.0134,,59.01365,39.24792,,1.738435
2020,President,polls-plus,8/17/2020,Trump,Biden,,NE-3,0.0000125,0.0065094,0.999675,0.000325,,72.77699,24.97023,,2.252784
2020,President,polls-plus,8/17/2020,Trump,Biden,,NE-2,0.007875,3.738492,0.4498,0.5502,,48.81314,49.9035,,1.28336
2020,President,polls-plus,8/17/2020,Trump,Biden,,NE-1,0.000025,0.0112323,0.94445,0.05555,,56.3884,41.89423,,1.717367
2020,President,polls-plus,8/17/2020,Trump,Biden,,Montana,0.0008,0.2165789,0.883025,0.116975,,55.31417,42.70408,,1.981752
2020,President,polls-plus,8/17/2020,Trump,Biden,,Missouri,0.001075,0.0549949,0.873875,0.126125,,54.36898,44.2271,,1.403915
2020,President,polls-plus,8/17/2020,Trump,Biden,,Mississippi,0.0020875,0.2430149,0.88685,0.11315,,55.97497,43.27096,,0.7540726
2020,President,polls-plus,8/17/2020,Trump,Biden,,Minnesota,0.093575,4.363351,0.2718,0.7282,,46.87809,51.70651,,1.4154
2020,President,polls-plus,8/17/2020,Trump,Biden,,Michigan,0.0793,2.242765,0.179325,0.820675,,45.89347,53.00539,,1.101139
2020,President,polls-plus,8/17/2020,Trump,Biden,,Massachusetts,0.000225,0.0090482,0.004,0.996,,33.92778,64.42357,,1.648656
2020,President,polls-plus,8/17/2020,Trump,Biden,,Maryland,0.0002375,0.0122548,0.00215,0.99785,,35.65252,63.01682,,1.330666
2020,President,polls-plus,8/17/2020,Trump,Biden,,Maine,0.0033,0.6187477,0.22395,0.77605,,45.12159,53.3516,,1.526811
